Unnamed: 0,combined,model,all average,all count total,all count correct,all lower interval,all upper interval,met average,met count total,met count correct,met lower interval,met upper interval,sim average,sim count total,sim count correct,sim lower interval,sim upper interval,not neg pairs average,not neg pairs count total,not neg pairs count correct,not neg pairs lower interval,not neg pairs upper interval,neg pairs average,neg pairs count total,neg pairs count correct,neg pairs lower interval,neg pairs upper interval,neg average,neg count total,neg count correct,neg lower interval,neg upper interval,intens average,intens count total,intens count correct,intens lower interval,intens upper interval,neg not average,neg not count total,neg not count correct,neg not lower interval,neg not upper interval,intens not average,intens not count total,intens not count correct,intens not lower interval,intens not upper interval,neg antonym average,neg antonym count total,neg antonym count correct,neg antonym lower interval,neg antonym upper interval,intens antonym average,intens antonym count total,intens antonym count correct,intens antonym lower interval,intens antonym upper interval,past tense average,past tense count total,past tense count correct,past tense lower interval,past tense upper interval,present tense average,present tense count total,present tense count correct,present tense lower interval,present tense upper interval,low concreteness average,low concreteness count total,low concreteness count correct,low concreteness lower interval,low concreteness upper interval,high concreteness average,high concreteness count total,high concreteness count correct,high concreteness lower interval,high concreteness upper interval,litneg originals average,litneg originals count total,litneg originals count correct,litneg originals lower interval,litneg originals upper interval,litneg originals intens average,litneg originals intens count total,litneg originals intens count correct,litneg originals intens lower interval,litneg originals intens upper interval,litneg originals neg average,litneg originals neg count total,litneg originals neg count correct,litneg originals neg lower interval,litneg originals neg upper interval
3.0,False,glove add_lem,0.5514073209858539,6857,3781,0.5395962134691693,0.5631654769742387,0.6071428571428571,1456,884,0.581746933229229,0.6322398412052348,0.5363821514534346,5401,2897,0.5230524921056745,0.5497157086640838,,0,0,0.0,1.0,,0,0,0.0,1.0,0.44930875576036866,1302,585,0.42241003800111565,0.47656922473772767,0.5804916732751785,1261,732,0.5527488759322456,0.6074783784529223,0.6675062972292192,794,530,0.633554743218161,0.6996973635093876,0.3631647211413748,771,280,0.3293708169840199,0.3981425649216037,0.10826771653543307,508,55,0.08337900639371354,0.13855054352569626,0.9224489795918367,490,452,0.8951583784464925,0.9434244571669018,0.5472255017709563,3388,1854,0.5304039587785933,0.564055256797275,0.5554564377044305,3363,1868,0.5385106714897343,0.5722632000270065,0.5860058309037901,686,402,0.5481278145574289,0.6225011203748577,0.565406976744186,688,389,0.5276288763487371,0.6025178884921466,0.5025641025641026,195,98,0.43063923998653153,0.5745001905131737,0.42391304347826086,92,39,0.3254511141211262,0.5272654337049284,0.5858585858585859,99,58,0.48479540421868705,0.6825594140959546
6.0,False,glove mult_lem,0.49963540907102233,6857,3426,0.4877492223594382,0.5115215645367664,0.507554945054945,1456,739,0.4817958333502993,0.5333171518687196,0.497500462877245,5401,2687,0.48416877441568407,0.5109223782023062,,0,0,0.0,1.0,,0,0,0.0,1.0,0.576036866359447,1302,750,0.5487824649920058,0.6029430836095417,0.3980967486122125,1261,502,0.37110241940199096,0.4254390222494321,0.654911838790932,794,520,0.6209524955716189,0.6877333985176977,0.29442282749675747,771,227,0.2632072082634952,0.32807266062296686,0.452755905511811,508,230,0.409392993257112,0.4970453352977824,0.5612244897959183,490,275,0.5163371283006806,0.6051697730435956,0.4997048406139315,3388,1693,0.4827316331823255,0.5166779948315466,0.4989592625631876,3363,1678,0.482008559858035,0.5159097842106835,0.4956268221574344,686,340,0.45770603314908004,0.5335433179724611,0.5072674418604651,688,349,0.4694627800286708,0.5450791362115537,0.5076923076923077,195,99,0.43577834449521535,0.5787811768886775,0.32608695652173914,92,30,0.23735238118068094,0.429091811321375,0.6767676767676768,99,67,0.5760470174097918,0.7635523014256869
9.0,False,w2v add_lem,0.5490739390403967,6857,3765,0.5372627299159873,0.5608893043573371,0.5927197802197802,1456,863,0.5669785978006892,0.6178120526708744,0.5373079059433439,5401,2902,0.5239782960036932,0.5506415178360206,,0,0,0.0,1.0,,0,0,0.0,1.0,0.32027649769585254,1302,417,0.29526781433275495,0.34635392834833023,0.7137192704203014,1261,900,0.6879908841260114,0.7383624642426163,0.44080604534005036,794,350,0.4061339231404364,0.4760609044822792,0.5836575875486382,771,450,0.548009528567469,0.6180723067031704,0.13188976377952755,508,67,0.10462927762634487,0.16417015121021025,0.9183673469387755,490,450,0.8900864216274655,0.9400980878108948,0.5472255017709563,3388,1854,0.5304039587785933,0.564055256797275,0.5533749628308058,3363,1861,0.5364290047346583,0.5701815113951887,0.5743440233236151,686,394,0.5364601848486136,0.6115696679222528,0.5552325581395349,688,382,0.5174497549236975,0.5923373526610429,0.46153846153846156,195,90,0.39213859486008634,0.5333924093486904,0.5543478260869565,92,51,0.4509174117619237,0.6526584907104102,0.37373737373737376,99,37,0.2820664902362396,0.4746584298218935
12.0,False,w2v mult_lem,0.5094064459676243,6857,3493,0.49752067606537853,0.5212930230364605,0.49725274725274726,1456,724,0.47149153943318467,0.5230128305680329,0.5126828365117571,5401,2769,0.4992593553968697,0.5260150653454837,,0,0,0.0,1.0,,0,0,0.0,1.0,0.49078341013824883,1302,639,0.4635093332150436,0.5180532048612603,0.5305313243457573,1261,669,0.5027762242328611,0.5583015417173547,0.4924433249370277,794,391,0.45716125406749464,0.5277189900290638,0.51621271076524,771,398,0.4805369346702213,0.5519023342837596,0.4881889763779528,508,248,0.4448509043868465,0.5325016784319978,0.5530612244897959,490,271,0.5081685462353531,0.5969994509694242,0.5141676505312869,3388,1742,0.4971957363507409,0.5309943290624479,0.5057983942908117,3363,1701,0.4888482842340106,0.522749513680771,0.45626822157434405,686,313,0.41906111215826414,0.49416642930648125,0.5188953488372093,688,357,0.48109608991891717,0.5567129855071716,0.5282051282051282,195,103,0.4563320312095116,0.597583088409621,0.5217391304347826,92,48,0.4181745367177737,0.6255383872499846,0.5252525252525253,99,52,0.4239529798937638,0.6215672362436315
15.0,False,ms-word2dm-c5 add_lem,0.5500421534385161,8303,4567,0.5392643084199509,0.5607633006010032,0.5783267827063447,1781,1030,0.5550346915479624,0.601188703799033,0.5423183072677092,6522,3537,0.5302004713610974,0.5544335862166979,,0,0,0.0,1.0,,0,0,0.0,1.0,0.46679946879150064,1506,703,0.44155557893995523,0.4923622937146011,0.572937293729373,1515,868,0.5478637072609924,0.5977082522014241,0.6332622601279317,938,594,0.6018438849193481,0.6636971849512653,0.3887113951011715,939,365,0.35778218138735196,0.42063401493644315,0.19190140845070422,568,109,0.1608934127207201,0.22695013713735512,0.8732638888888888,576,503,0.8430846931548266,0.8986714217146534,0.5526892187880262,4109,2271,0.5373597037267542,0.5679045463676059,0.5492470994816094,4051,2225,0.5338212438656006,0.5645565296083621,0.5694117647058824,850,484,0.5357604790468876,0.6023870677963005,0.5246478873239436,852,447,0.49060684124073384,0.5581182512425473,0.5147679324894515,237,122,0.4500673620308191,0.5781568094035257,0.41379310344827586,116,48,0.32713350714858663,0.5086497419458305,0.6153846153846154,117,72,0.5214371005940776,0.7014743533208746
18.0,False,ms-word2dm-c5 mult_lem,0.5078887149223172,8303,4217,0.49710937867825844,0.5186685992289009,0.5171252105558675,1781,921,0.4938226905424452,0.5404334850182531,0.5053664520085863,6522,3296,0.4931766336081378,0.5175567550557282,,0,0,0.0,1.0,,0,0,0.0,1.0,0.5557768924302788,1506,837,0.5305502299351053,0.5810261234066145,0.43366336633663366,1515,657,0.40873233009105425,0.4590674475458765,0.6247334754797441,938,586,0.5933115721663499,0.6557040428672105,0.3652822151224707,939,343,0.334879022175249,0.39666664037154664,0.44190140845070425,568,251,0.40135780822089406,0.48326588915055835,0.5451388888888888,576,314,0.5034742300552706,0.5859848058627178,0.5086395716719396,4109,2090,0.4933069046344245,0.5239734661587347,0.5065415946679832,4051,2052,0.491112677659733,0.5219714467820092,0.4858823529411765,850,413,0.45233693390627905,0.5200075569958501,0.47300469483568075,852,403,0.4395334329988506,0.5070448674587783,0.4936708860759494,237,117,0.43029453650042226,0.5571755263614353,0.45689655172413796,116,53,0.3659587080831199,0.5491192599031665,0.5299145299145299,117,62,0.43726370338997644,0.6199979927384083
21.0,False,ms-word2dm-c10 add_lem,0.5465494399614597,8303,4538,0.5357714652917717,0.5572704498052796,0.5772038180797305,1781,1028,0.5539115149598608,0.6002420995955946,0.5381784728610856,6522,3510,0.5259901380289794,0.55029354954677,,0,0,0.0,1.0,,0,0,0.0,1.0,0.45750332005312083,1506,689,0.4322573238056572,0.48306420239854386,0.5762376237623762,1515,873,0.5511647099211289,0.6010094416550151,0.6428571428571429,938,603,0.6114430621426439,0.6732985880725231,0.3887113951011715,939,365,0.35778218138735196,0.42063401493644315,0.15140845070422534,568,86,0.1239212598396206,0.18378995438394402,0.8819444444444444,576,508,0.8526337258750261,0.9064900772643587,0.5449014358724751,4109,2239,0.5295713420328612,0.5601161348115824,0.5482596889656874,4051,2221,0.5328337595142423,0.5635690388441124,0.5658823529411765,850,481,0.5317768280503217,0.5991382064318655,0.5434272300469484,852,463,0.5093931577876102,0.5769051599365447,0.5316455696202531,237,126,0.46619381544786165,0.5950619561889148,0.4051724137931034,116,47,0.318460690035351,0.5000000014164693,0.6581196581196581,117,77,0.5668935163749029,0.7400056993105537
24.0,False,ms-word2dm-c10 mult_lem,0.5198121161026135,8303,4316,0.5090331914615829,0.5305924253304325,0.5283548568220101,1781,941,0.5050541615501984,0.551665166165924,0.5174793008279669,6522,3375,0.5052900252458166,0.5296644178503005,,0,0,0.0,1.0,,0,0,0.0,1.0,0.50066401062417,1506,754,0.4754270160674998,0.5259012592501201,0.5062706270627063,1515,767,0.48085421524308547,0.5316896445515135,0.5735607675906184,938,538,0.5415905910646402,0.6050435712917619,0.40894568690095845,939,384,0.37748826587656514,0.440875945194009,0.38028169014084506,568,216,0.3405784827355288,0.42160957720213366,0.6649305555555556,576,383,0.6250664115401644,0.7026160508704263,0.5164273545874909,4109,2122,0.5010952334954557,0.5317618176479166,0.5248086892125401,4051,2126,0.5093810621646719,0.5402398991802184,0.5317647058823529,850,452,0.4976461751104291,0.5653168571224679,0.5375586854460094,852,458,0.5035224321800007,0.5710341513136377,0.48523206751054854,237,115,0.4218431905964744,0.5499326379691818,0.4224137931034483,116,49,0.335801488932063,0.51729967307354,0.5470085470085471,117,64,0.4528343329825246,0.6371709831393692
27.0,False,ms-word2dm-d5 add_lem,0.5399253281946285,8303,4483,0.5291471119874332,0.550646084841006,0.5513756316676025,1781,982,0.528078738950688,0.5744083895715334,0.5367985280588776,6522,3501,0.5246101293200652,0.5489135382538181,,0,0,0.0,1.0,,0,0,0.0,1.0,0.4940239043824701,1506,744,0.4687856295809537,0.5193992019254137,0.5313531353135313,1515,805,0.5059417879608987,0.5564463393766911,0.6545842217484008,938,614,0.6231759189599654,0.6844919816146513,0.35250266240681577,939,331,0.322090523282624,0.3838812342883703,0.22887323943661972,568,130,0.1953115599464374,0.2657104515571316,0.8229166666666666,576,474,0.7892246899234976,0.8526337267104565,0.5402774397663666,4109,2220,0.5249470089822026,0.5554917791409686,0.542088373241175,4051,2196,0.5266619876835927,0.557397232355046,0.5658823529411765,850,481,0.5317768280503217,0.5991382064318655,0.5387323943661971,852,459,0.504696576630541,0.5722083452277347,0.4641350210970464,237,110,0.4007111697299305,0.5295802275709387,0.3448275862068966,116,40,0.26223376838517226,0.43518482331423874,0.5811965811965812,117,68,0.4871379196562027,0.6675145746601554
30.0,False,ms-word2dm-d5 mult_lem,0.5221004456220644,8303,4335,0.5113216003281262,0.5328808380488801,0.5188096574957889,1781,924,0.4955074114554574,0.5421182308157478,0.5229990800367985,6522,3411,0.5108100525085666,0.5351134481465156,,0,0,0.0,1.0,,0,0,0.0,1.0,0.5431606905710491,1506,818,0.5175999479254549,0.5684068419525199,0.4897689768976898,1515,742,0.4643491167833347,0.5151845808412963,0.5735607675906184,938,538,0.5415905910646402,0.6050435712917619,0.44195953141640043,939,415,0.40997992201316813,0.4739005997416945,0.49295774647887325,568,280,0.4515582240010642,0.5343492507822725,0.5677083333333334,576,327,0.5269228817068459,0.6076919202149614,0.5215380871258214,4109,2143,0.5062063243611546,0.5368729311268053,0.5238212786966181,4051,2122,0.5083935817286562,0.5392524130420377,0.5411764705882353,850,460,0.5070614745784022,0.5747325157949645,0.534037558685446,852,455,0.49999999952929997,0.5675115918593867,0.5021097046413502,237,119,0.4387451949830803,0.5654800542093334,0.4482758620689655,116,52,0.3572929886122541,0.5418923876691513,0.5470085470085471,117,64,0.4528343329825246,0.6371709831393692
