,all,l,h
0,0.12195389681668496,0.06037321624588365,0.16465422612513722
1,,0.16245883644346873,0.1119648737650933
2,,0.010976948408342482,0.2601536772777168
3,,0.4083424807903403,0.0
4,,0.020856201975850714,0.23819978046103182
5,,0.15806805708013172,0.043907793633369926
6,,0.09659714599341383,0.06915477497255763
7,,0.09769484083424808,0.13611416026344675
8,,0.1207464324917673,0.09330406147091108
9,,0.10318331503841932,0.07793633369923161
10,,0.15477497255762898,0.08232711306256861
11,,0.150384193194292,0.07244785949506037
12,,0.05159165751920966,0.150384193194292
13,,0.2217343578485181,0.05159165751920966
14,,0.09879253567508232,0.1141602634467618
15,,0.3358946212952799,0.018660812294182216
16,,0.07025246981339188,0.14818880351262348
17,,0.07574094401756312,0.13721185510428102
18,,0.18111964873765093,0.06476399560922064
19,,0.09440175631174534,0.12623490669593854
20,,0.21624588364434688,0.0570801317233809
21,,0.13172338090010977,0.1119648737650933
22,,0.08562019758507135,0.14818880351262348
23,,0.1350164654226125,0.10647639956092206
24,,0.15587266739846323,0.09440175631174534
25,,0.09769484083424808,0.132821075740944
26,,0.10318331503841932,0.11086717892425905
